City	State	price	title	url
Independence	NA	6300	2013 Ford Fiesta S	https://northmiss.craigslist.org/cto/d/2013-ford-fiesta/6483404962.html
NA	NA	3550	1999 FORD F-250 SUPER DUTY SUPER CAB	https://northmiss.craigslist.org/cto/d/1999-ford-250-super-duty/6483405717.html
Columbus	 MS	8500	2009 Honda Accord	https://northmiss.craigslist.org/cto/d/2009-honda-accord/6483403967.html
Belmont	 MS	5900	2004 GMC Yukon 2WD	https://northmiss.craigslist.org/cto/d/2004-gmc-yukon-2wd/6478156381.html
NA	NA	600	97 Buick LeSabre custom	https://northmiss.craigslist.org/cto/d/97-buick-lesabre-custom/6483369328.html
NA	NA	1000	02 impala	https://northmiss.craigslist.org/cto/d/02-impala/6483360728.html
NA	NA	1000	02 impala	https://northmiss.craigslist.org/cto/d/02-impala/6483359902.html
hollysprings ms	NA	3500	1982 porsche 928 v/8	https://northmiss.craigslist.org/cto/d/1982-porsche-928-8/6483324598.html
hollysprings ms	NA	3500	1982 porsche 928 v/8	https://northmiss.craigslist.org/cto/d/1982-porsche-928-8/6483322818.html
Potts Camp	NA	2800	1999 Ford Expedition	https://northmiss.craigslist.org/cto/d/1999-ford-expedition/6472172871.html
NA	NA	190	2001 Ford Ranger V/6 Extended cab......for sale	https://northmiss.craigslist.org/cto/d/2001-ford-ranger-6-extended/6460258567.html
Call (662) 200-5006	NA	14750	2017 Chevy Chevrolet Malibu LS 1 5L CARFAX One Owner Fuel Efficient	https://northmiss.craigslist.org/ctd/d/2017-chevy-chevrolet-malibu/6483288813.html
Batesville MS	NA	5900	1999 LEXUS GS400   (MINT)	https://northmiss.craigslist.org/cto/d/1999-lexus-gs400-mint/6483271775.html
Grand Junction	Tn	3500	2004 Honda Accord ONE Owner	https://northmiss.craigslist.org/cto/d/2004-honda-accord-one-owner/6483248213.html
Call (662) 200-5006	NA	24750	2017 Dodge Challenger R T HEMI V8 5 7L CARFAX One Owner Coupe	https://northmiss.craigslist.org/ctd/d/2017-dodge-challenger-t-hemi/6483276326.html
pontotoc ms	NA	1999	2001 i30 INFINITY	https://northmiss.craigslist.org/cto/d/2001-i30-infinity/6471226685.html
pontotoc ms	NA	3399	2009 KIA OPTIMA  140K MILES  NICE !	https://northmiss.craigslist.org/cto/d/2009-kia-optima-140k-miles/6471225631.html
pontotoc ms	NA	2699	2000 supercharged Buick Regal GS	https://northmiss.craigslist.org/cto/d/2000-supercharged-buick-regal/6471224752.html
Corinth MS	NA	12500	2008 GMC Sierra	https://northmiss.craigslist.org/cto/d/2008-gmc-sierra/6483265787.html
pontotoc ms	NA	12600	2006 JEEP 4x4 WRANGLER 6 speed 4 cyl 84K MILES	https://northmiss.craigslist.org/cto/d/2006-jeep-4x4-wrangler-6/6479620681.html
Call (662) 200-5006	NA	22750	2017 Chevy Chevrolet Camaro V6 3 6L CARFAX One Owner Coupe Sunroof	https://northmiss.craigslist.org/ctd/d/2017-chevy-chevrolet-camaro/6483263961.html
NA	NA	34000	2011 Ford Super Duty F-250 Lariat Crew Cab 4WD	https://northmiss.craigslist.org/ctd/d/2011-ford-super-duty-250/6483261782.html
Call (662) 200-5006	NA	38500	2015 Chevy Chevrolet Tahoe LT V8 5 3L CARFAX Leather Seats SUV	https://northmiss.craigslist.org/ctd/d/2015-chevy-chevrolet-tahoe-lt/6483251370.html
Call (662) 200-5006	NA	24500	2014 Toyota Tundra SR5 V8 4 6L CARFAX Crew Cab Truck Backup Camera	https://northmiss.craigslist.org/ctd/d/2014-toyota-tundra-sr5-v8-4/6483238772.html
Call (662) 200-5006	NA	19750	2015 Jeep Cherokee Limited 2 4L 4WD CARFAX Leather Seats Fuel	https://northmiss.craigslist.org/ctd/d/2015-jeep-cherokee-limited-2/6483226351.html
Call (662) 200-5006	NA	21500	2017 Nissan Murano SV V6 CARFAX One Owner SUV Navigation Bluetooth	https://northmiss.craigslist.org/ctd/d/2017-nissan-murano-sv-v6/6483212094.html
Greenwood Ms	NA	8500	2013 NISSAN ALTIMA	https://northmiss.craigslist.org/cto/d/2013-nissan-altima/6466640994.html
Tupelo	NA	40	DISCOUNT12 Jeep Cherokee LIGHTS & Tupelo 4-Wheels - $3100	https://northmiss.craigslist.org/cto/d/discount12-jeep-cherokee/6459727235.html
Starkville	NA	40	CALCULATE12 Jeep Cherokee LIGHTS & Starkville 4-Wheels - $3000	https://northmiss.craigslist.org/cto/d/calculate12-jeep-cherokee/6458180360.html
fulton	ms.	3600	2003 Toyota camry le	https://northmiss.craigslist.org/cto/d/2003-toyota-camry-le/6454279312.html
Hamilton	NA	3800	2007 Jeep compass 2 wheel drive	https://northmiss.craigslist.org/cto/d/2007-jeep-compass-2-wheel/6483196355.html
NA	NA	1022	Like New 2004 Four-door Toyota 4runnr sport utility vehicle with V8 Mo	https://northmiss.craigslist.org/cto/d/like-new-2004-four-door/6483099916.html
Decaturville	NA	7000	1985 chevy c10	https://northmiss.craigslist.org/cto/d/1985-chevy-c10/6483182510.html
Memphis	TN	5000	1997 Mustang GT Convertible 5 Speed Excellent Cond. With Mods	https://northmiss.craigslist.org/cto/d/1997-mustang-gt-convertible-5/6483180750.html
NA	NA	34500	2015 CHEVROLET 1500 CREW CAB 4WD	https://northmiss.craigslist.org/ctd/d/2015-chevrolet-1500-crew-cab/6483176032.html
Myrtle	NA	5	2010 malibu	https://northmiss.craigslist.org/cto/d/2010-malibu/6480540140.html
Myrtle	NA	8000	2008 Chevy Silverado 131.000 miles	https://northmiss.craigslist.org/cto/d/2008-chevy-silveradomiles/6461510017.html
Myrtle	NA	18	2012 gmc Sierra 4x4	https://northmiss.craigslist.org/cto/d/2012-gmc-sierra-4x4/6480553038.html
NA	NA	35900	2015 CHEVROLET SUBURBAN LTZ	https://northmiss.craigslist.org/ctd/d/2015-chevrolet-suburban-ltz/6483162773.html
NA	NA	39900	2017 RAM 2500 CREW CAB CUMMINGS 4WD	https://northmiss.craigslist.org/ctd/d/2017-ram-2500-crew-cab/6483144951.html
Ackerman	NA	3800	2000 chevrolet silverado 4wd	https://northmiss.craigslist.org/cto/d/2000-chevrolet-silverado-4wd/6483136074.html
Etta	 Ms	3800	06 Honda Odyssey	https://northmiss.craigslist.org/cto/d/06-honda-odyssey/6459751506.html
titusville	NA	3500	2004 BMW 325i	https://northmiss.craigslist.org/cto/d/2004-bmw-325i/6476172065.html
NA	NA	7150	1999 Chevy Silverado Ext. Cab 5.3 Vortec-Low Miles!	https://northmiss.craigslist.org/cto/d/1999-chevy-silverado-ext-cab/6470732008.html
Independence	NA	10900	2009 Chevrolet Suburban LT	https://northmiss.craigslist.org/cto/d/2009-chevrolet-suburban-lt/6483114645.html
NA	NA	6500	1999 CHEVROLET SILVERADO EXT CAB Z71	https://northmiss.craigslist.org/ctd/d/1999-chevrolet-silverado-ext/6483126756.html
memphis	NA	6200	#2008 nissan MAXIMA SE/with 75k	https://northmiss.craigslist.org/cto/d/2008-nissan-maxima-se-with-75k/6483106192.html
memphis	NA	7999	**2014 CHEVY CRUZE  LT /35K	https://northmiss.craigslist.org/cto/d/2014-chevy-cruze-lt-35k/6483114076.html
Tupelo	NA	5650	2006 Nissan Altima SE - 4 Door; Fully Loaded; Extra Clean!	https://northmiss.craigslist.org/cto/d/2006-nissan-altima-se-4-door/6459520252.html
NA	NA	16500	2008 BMW 335i Convertible	https://northmiss.craigslist.org/cto/d/2008-bmw-335i-convertible/6463011794.html
memphis	NA	6500	*2008 nissan ALTIMA 2.5 SL with 62k / full load	https://northmiss.craigslist.org/cto/d/2008-nissan-altima-25-sl-with/6483113227.html
Independence	NA	9500	2013 Volkswagen Beetle Turbo	https://northmiss.craigslist.org/cto/d/2013-volkswagen-beetle-turbo/6473970714.html
Independence	NA	7500	2013 Dodge Grand Caravan SXT	https://northmiss.craigslist.org/cto/d/2013-dodge-grand-caravan-sxt/6473928699.html
Independence	NA	8500	2006 Ford F250 SD Crew Cab	https://northmiss.craigslist.org/cto/d/2006-ford-f250-sd-crew-cab/6468687679.html
Independence	NA	6900	2012 Chevrolet Impala LS	https://northmiss.craigslist.org/cto/d/2012-chevrolet-impala-ls/6464153028.html
Horn Lake	NA	19500	2009 BMW 750Li	https://northmiss.craigslist.org/cto/d/2009-bmw-750li/6483104574.html
Independence	NA	4800	2003 Ford F150 XLT 4door	https://northmiss.craigslist.org/cto/d/2003-ford-f150-xlt-4door/6466518770.html
Independence	NA	4700	2010 Chevrolet Malibu LT	https://northmiss.craigslist.org/cto/d/2010-chevrolet-malibu-lt/6464131447.html
Independence	NA	4800	2003 Ford Explorer Eddie Bauer	https://northmiss.craigslist.org/cto/d/2003-ford-explorer-eddie-bauer/6469091532.html
Independence	NA	7500	2012 Volkswagen Passat S	https://northmiss.craigslist.org/cto/d/2012-volkswagen-passat/6469213561.html
Independence	NA	6500	2008 Mazda Tribute	https://northmiss.craigslist.org/cto/d/2008-mazda-tribute/6470137195.html
Independence	NA	13900	2010 Dodge Ram 1500	https://northmiss.craigslist.org/cto/d/2010-dodge-ram-1500/6470301030.html
Independence	NA	7900	2010 Ford F-150 XL	https://northmiss.craigslist.org/cto/d/2010-ford-150-xl/6470446534.html
Independence	NA	6900	2014 Dodge Ram C/V	https://northmiss.craigslist.org/cto/d/2014-dodge-ram-v/6472785634.html
Independence	NA	7900	2014 Volkswagen Jetta SE	https://northmiss.craigslist.org/cto/d/2014-volkswagen-jetta-se/6464120437.html
NA	NA	3000	2006 PT Curiser	https://northmiss.craigslist.org/cto/d/2006-pt-curiser/6482747022.html
NA	NA	1500	Honda Pilot EXL 93,000 ml	https://northmiss.craigslist.org/cto/d/honda-pilot-exlml/6483097905.html
NA	NA	5000	2008 Chevy Equinox  OBO	https://northmiss.craigslist.org/cto/d/2008-chevy-equinox-obo/6482793361.html
NA	NA	25900	2014 JEEP WRANGLER SARAH	https://northmiss.craigslist.org/ctd/d/2014-jeep-wrangler-sarah/6483093625.html
Oxford	NA	17500	Toyota Camry 2014 sport	https://northmiss.craigslist.org/cto/d/toyota-camry-2014-sport/6483086517.html
NA	NA	12345	Cargo work van...👍👍🗣️👏🙌	https://northmiss.craigslist.org/cto/d/cargo-work-van/6480418305.html
Tupelo	NA	4900	05 Honda Odyssey excellent conditions only 134,000 miles	https://northmiss.craigslist.org/cto/d/05-honda-odyssey-excellent/6480624302.html
Senatobia	 MS	2500	* * * * 2002 TOYOTA 4RUNNER  $2500 * * * *	https://northmiss.craigslist.org/cto/d/2002-toyota-4runner-2500/6464516186.html
Tupelo	NA	4900	06 BMW X3 in excellent conditions only 137,000 miles	https://northmiss.craigslist.org/cto/d/06-bmw-x3-in-excellent/6480623174.html
